State,County,LitAvg,NumAvg,Pop,Education,Industry,Pov,NoIns,MedIncome,Unemployment,VCR,JPR,Size,FIPS,PREF,GEO_ID
NC,Alamance County,261.3,244.4,157.844,0.57,Mgmt/Bus/Art,0.176,0.129,57.96,0.045,418.4,40.785,Small/Mid,37001,0500000US,0500000US37001
NC,Alexander County,257.6,242.5,37.159,0.42,Prod/Trans,0.147,0.11,54.96,0.049,240.2,32.472,Small/Mid,37003,0500000US,0500000US37003
NC,Alleghany County,257,241.6,10.935,0.481,Mgmt/Bus/Art,0.21,0.142,41.42,0.04,197.4,41.203,Rural,37005,0500000US,0500000US37005
NC,Anson County,239.4,216.8,25.531,0.388,Prod/Trans,0.227,0.148,40.83,0.092,578.5,28.21,Rural,37007,0500000US,0500000US37007
NC,Ashe County,261.6,246,26.833,0.536,Mgmt/Bus/Art,0.194,0.139,41.54,0.047,217.3,98.553,Rural,37009,0500000US,0500000US37009
NC,Avery County,257.4,243.1,17.535,0.505,Mgmt/Bus/Art,0.147,0.163,45.82,0.032,134.2,31.34,Rural,37011,0500000US,0500000US37011
NC,Beaufort County,257.6,238.9,47.316,0.524,Mgmt/Bus/Art,0.191,0.123,49.41,0.066,210,30.921,Rural,37013,0500000US,0500000US37013
NC,Bertie County,238,215.9,19.913,0.39,Prod/Trans,0.22,0.133,37.9,0.079,266.6,33.249,Rural,37015,0500000US,0500000US37015
NC,Bladen County,247.2,227.3,34.13,0.463,Mgmt/Bus/Art,0.245,0.123,42.26,0.053,249.7,36.262,Rural,37017,0500000US,0500000US37017
NC,Brunswick County,269.1,253.9,122.586,0.617,Mgmt/Bus/Art,0.141,0.125,63.71,0.056,600,39.533,Small/Mid,37019,0500000US,0500000US37019
NC,Buncombe County,275.2,261.3,252.268,0.669,Mgmt/Bus/Art,0.132,0.115,55.45,0.037,343.6,31.108,Small/Mid,37021,0500000US,0500000US37021
NC,Burke County,257.8,242.6,88.898,0.502,Mgmt/Bus/Art,0.193,0.13,47.89,0.066,232.3,37.2,Small/Mid,37023,0500000US,0500000US37023
